DATE,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
2011,26.4,22.3,20.3,26.6,30.3,36.7,36.2,52.5,28.8,25.8,27.6,29.1,25.8,25.2,31,23,30.1,21.1,21.1,39.1,36.9,28.4,25.6,32.4,26.1,19.8,28.2,26.9,26.3,27.9,33.4,35.3,25.6,22.5,32.9,24.7,23.8,29.3,27,31.1,24.1,26.3,23.6,26.4,29.7,35.1,35.4,31.9,26.5,18.5,24.7
2012,28,23.3,21,27.3,30.9,37.5,37.1,53,29.5,26.8,28.2,30.1,26.3,25.5,31.6,23.4,30.4,21.8,22,39.3,36.9,28,26,33.2,26.4,20.7,29.4,27.4,27.9,29,34.6,36.2,26.1,22.4,33.4,25.2,23.8,29.9,27.8,31.4,25.1,26.3,24.3,26.7,30.7,35.5,35.8,31.7,27.1,18.6,24.7
2013,28,23.5,20.6,27.4,31,37.8,37.2,55.1,29.8,27.2,28.3,31.2,26.4,26.2,32.1,23.8,31.1,22.6,22.5,40.3,37.4,28.2,26.9,33.5,27,20.4,29,28.4,27.1,29.4,34.6,36.6,26.4,22.5,34.1,26.1,23.8,30.7,28.7,32.4,26.1,26.6,24.8,27.5,31.3,36.1,35.7,32.7,27.7,18.9,26.6
2014,28,23.5,21.4,27.6,31.7,38.3,38,55,30.6,27.3,29.1,31,27.7,25,32.8,24.7,31.5,22.2,22.9,41.2,38.2,29.4,27.4,34.3,27.5,21.1,29.3,28.7,27.4,29.5,35,37.4,26.4,23.1,34.5,26.6,24.2,30.8,29,30.4,26.3,27.8,25.3,27.8,31.1,36.7,34.9,33.1,28.4,19.2,26.6
2015,29.7,24.2,21.8,27.7,32.3,39.2,38.3,56.7,30.9,28.4,29.9,31.4,26.8,26,32.9,24.9,31.7,23.3,23.2,41.5,38.8,30.1,27.8,34.7,27.8,20.8,30.6,29.4,29.1,30.2,35.7,37.6,26.5,23.6,35,26.8,24.6,32.2,29.7,32.7,26.8,27.5,25.7,28.4,31.8,37,36.9,34.2,28.4,19.6,26.2
2016,29.6,24.7,22.4,28.9,32.9,39.9,38.6,56.8,31,28.6,30.5,31.9,28.4,27.6,34,25.6,32.8,23.4,23.4,42.7,39.3,30.1,28.3,34.8,28.5,21.8,31,30.4,29.6,31.4,36.6,38.6,27.2,23.5,35.7,27.5,25.2,32.7,30.8,34.1,27.2,28.9,26.1,28.9,32.6,38.1,36.4,35.1,29.5,20.8,27.1
2017,28.8,25.5,23.4,29.4,33.6,41.2,38.7,57.3,31.5,29.7,30.9,32.9,28.9,26.8,34.4,26.8,33.7,24,23.8,43.4,39.7,32.1,29.1,36.1,29.1,21.9,32.3,31.3,30.7,31.7,36.9,39.7,27.1,24.9,36,28,25.5,33.7,31.4,33.5,28,28.1,27.3,29.6,34.6,38.7,38.3,35.5,30.4,20.2,27.6
2018,30.2,25.5,23.3,29.7,34.2,41.7,39.6,60.4,31.3,30.4,31.9,33.5,29,27.7,35.1,27.1,33.8,24.8,24.3,44.5,40.8,31.5,29.6,36.7,29.5,23.2,31.7,31.9,29.7,32.4,36.8,40.8,27.7,24.9,37.2,29,25.6,34,31.8,34.4,28.3,29.2,27.5,30.3,34.9,39.3,38.7,36.7,30,21.3,26.9
2019,30.2,26.3,23.3,30.2,35,42.7,39.8,59.7,33.2,30.7,32.5,33.6,29.3,28.7,35.8,26.9,34,25.1,25,45,40.9,33.2,30,37.3,30.2,22.3,33.6,32.3,30.4,33.2,37.6,41.2,27.7,25.7,37.8,29.3,26.2,34.5,32.3,34.8,29.6,29.7,28.7,30.8,34.8,39.6,38.7,37,31.3,21.1,29.1
2020,31.9,27.8,24.9,33,36.9,44.2,42.4,63.6,34.7,33.7,34.8,35.5,29.5,30.9,37.6,28.9,35.1,27.4,27.2,46.9,43.1,33.5,32.1,37.9,31.9,24.5,34.6,34.8,31.8,33.3,40.2,43.1,30.1,28,39.5,30.6,27,36.3,34,38,31.7,28.4,30.7,33.2,36.9,42,42.1,38.4,31.8,23.1,28.2
